state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,1218923,849714,65363,70,908282,1063884,909,1074209,154716,2138093,285722,454767,1228832
Arizona,133137,64786,5794,1676,2009,85780,29201,118574,22712,204354,23408,47927,171468
Arkansas,906960,620241,44898,72,442891,764423,460,810026,151002,1574449,173251,333368,1131026
California,1700129,543796,125263,79861,21645,1054571,16371,1322978,270379,2377549,275723,563636,2259672
Colorado,542082,227866,26727,2674,11453,368327,1482,430697,96728,799024,90929,194467,783415
Connecticut,744699,309002,59588,533,15174,551114,152,563642,90457,1114756,151960,246659,1098897
Delaware,132942,58550,10465,34,31181,98887,5,103435,17794,202322,25951,44951,171102
District_of_Columbia,236187,76630,17017,427,94446,173019,68,158050,17375,331069,51607,71339,236128
Florida,459459,268216,21797,242,308669,358453,74,394166,72027,752619,90806,171422,443634
Georgia,1485021,1039227,80729,237,1176987,1304102,95,1305019,164116,2609121,373887,553264,1431802
Idaho,207071,108478,8940,2234,651,140048,3488,185546,47045,325594,22035,73669,319221
Illinois,3714530,1665812,243374,2392,109049,2726917,188,2911674,545999,5638591,693083,1264717,5526962
Indiana,1751856,796039,149474,316,60320,1317581,279,1383295,352295,2700876,290727,654891,2639961
Iowa,1408558,687062,125400,136,14973,1076600,471,1148171,292951,2224771,208344,512515,2209191
Kansas,1061521,537696,87956,123,54030,805037,2444,885912,228504,1690949,157817,395771,1634352
Kentucky,1372518,820166,94124,64,261656,1128196,234,1161709,251059,2289905,235433,494788,2027951
Louisiana,965066,636603,49733,648,713874,821113,780,835275,106953,1656388,225433,344144,941086
Maine,477015,203066,61072,121,1363,365319,892,377052,109298,742371,65523,177960,739995
Maryland,832271,401001,60667,402,232250,651121,55,644225,117297,1295346,149201,274824,1062639
Massachusetts,2279274,908692,175015,2747,38055,1711168,688,1655248,240445,3366416,484932,734013,3324926
Michigan,1817806,832401,156519,292,17115,1355639,7519,1454534,398616,2810173,247152,657418,2785247
Minnesota,1323178,661475,86057,344,7084,967197,9053,1108511,251092,2075708,154340,416452,2059227
Mississippi,1014592,723848,54338,263,1009487,891354,1253,905760,127157,1797114,247106,384724,786111
Missouri,2112659,1022926,150253,638,157452,1605522,313,1687813,374461,3293335,358514,749812,3134932
Montana,261909,102188,9085,2894,1834,149181,10745,226872,48757,376053,32511,86602,360580
Nebraska,749510,389964,50771,730,7689,564432,3502,627782,153155,1192214,106099,265549,1180293
Nevada,61242,16989,3120,1846,513,29324,5240,52551,11925,81875,10421,23677,74276
New_Hampshire,283115,112725,34070,68,564,214282,34,216290,52052,430572,49549,103156,429906
New_Jersey,1689408,737916,107087,1345,89760,1250704,168,1286463,191177,2537167,355076,558202,2445894
New_Mexico,196402,120719,9686,506,1628,152056,20573,175245,54537,327301,22704,78883,304594
New_York,6195752,2488621,418155,6532,134191,4529017,6046,4584597,622125,9113614,1387900,2046845,8966845
North_Carolina,1231275,893656,77688,82,697843,1107811,7851,1098476,203552,2206287,227239,440334,1500511
North_Dakota,350841,211718,12898,98,617,259502,6486,317554,87641,577056,28123,120910,569855
Ohio,3155032,1343976,261810,645,111452,2332363,127,2434758,574085,4767121,545519,1138165,4654897
Oklahoma,967245,645748,41045,187,137612,775577,74825,881578,154571,1657155,186109,351167,1444531
Oregon,469977,172910,28153,11093,1492,288500,5090,384265,87688,672765,58279,151858,655090
Pennsylvania,4959478,2368926,325918,1976,193919,3722905,1503,3942206,662091,7665111,929256,1630628,7467713
Rhode_Island,367168,149559,25020,305,9529,272296,284,270314,32849,542610,83134,117976,532492
South_Carolina,839292,629645,44092,65,835843,763558,331,751842,93757,1515400,210904,315204,679161
South_Dakota,362784,200443,19288,163,817,266776,19137,317112,86539,583888,40302,131060,563771
Tennessee,1290757,806938,83464,53,473088,1081298,216,1103491,213125,2184789,240515,462553,1711432
Texas,2273275,1504430,110801,943,690049,1878916,702,2017626,350176,3896542,425770,798426,3204848
Utah,221040,138643,12369,2501,1144,176488,3123,196863,48131,373351,26144,77339,366583
Vermont,228206,98279,29262,11,1621,173388,26,182568,49489,355956,35112,85178,354298
Virginia,1210976,762878,84981,168,671096,1026264,539,1035348,211322,2061612,198860,419452,1389809
Washington,797387,301236,36573,15824,6058,483327,10997,658663,140367,1141990,104471,254692,1109111
West_Virginia,728659,448324,42192,93,64173,577075,36,644044,120583,1221119,123068,248480,1156817
Wisconsin,1462660,750203,118637,263,2900,1125282,10142,1208578,316578,2333860,173787,499629,2320555
Wyoming,103707,39209,2796,1926,2235,54295,1486,91670,16961,145965,14159,32092,140318
