,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,
Alabama,54306,65363,83498,99240,136209,198648,261147,325961,440015,522989,579798,
Alaska,(X),(X),(X),(X),(X),(X),5386,6887,11547,22369,35699,
Arizona,3328,5794,9977,15768,23909,44241,90225,161474,307362,478774,667839,
Arkansas,31344,44898,62092,75600,107260,148995,194372,237760,312477,350058,374019,
California,76846,125263,200301,366125,555247,895005,1376204,1800977,2414250,3135552,3595658,
Colorado,13646,26727,41063,61787,86438,115592,158160,187891,247325,329443,416073,
Connecticut,50850,59588,68517,93319,128554,176824,242615,288908,364864,445907,470183,
Delaware,8468,10465,12402,16678,20566,26320,35745,43833,59179,80735,101726,
District_of_Columbia,11734,17017,20635,27253,41206,56687,69143,70803,74287,77847,69898,
Florida,13941,21797,40664,71202,131217,237474,553129,989366,1687573,2369431,2807597,
Georgia,66376,80729,102111,113278,158714,219655,290661,367458,516731,654270,785275,
Hawaii,(X),(X),(X),(X),(X),(X),29162,44116,76150,125005,160601,
Idaho,4425,8940,14839,22310,31700,43537,58258,67776,93680,121265,145916,
Illinois,190639,243374,297647,421073,567963,754301,974923,1093654,1261885,1436545,1500025,
Indiana,117861,149474,183695,232787,288036,361026,445519,493809,585384,696196,752831,
Iowa,105916,125400,144392,184239,227767,272998,327685,350293,387584,426106,436213,
Kansas,60373,87956,104747,129468,157136,194218,240269,266201,306263,342571,356229,
Kentucky,77127,94124,113772,142122,189284,235243,292323,337428,409828,466845,504793,
Louisiana,40223,49733,59443,75850,119003,176849,241591,306707,404279,468991,516929,
Maine,55122,61072,62101,69010,80325,93562,106544,114592,140918,163373,183402,
Maryland,49983,60667,72468,92972,123516,163514,226539,299682,395609,517482,599307,
Massachusetts,143107,175015,206447,274195,368974,468436,571609,636185,726531,819284,860162,
Michigan,121160,156519,190972,254891,330854,461650,638184,752955,912258,1108461,1219018,
Minnesota,66771,86057,110766,163480,212618,269130,354351,408919,479564,546934,594266,
Mississippi,45029,54338,66708,77443,115418,152964,190029,222320,289357,321284,343523,
Missouri,112682,150253,185502,244525,325745,407388,503411,560656,648126,717681,755379,
Montana,4845,9085,16808,26700,36257,50864,65420,68736,84559,106497,120949,
Nebraska,34754,50771,64341,86194,105632,130379,164156,183526,205684,223068,232195,
Nevada,2268,3120,3473,4814,6800,10986,18173,30968,65756,127631,218929,
New_Hampshire,32344,34070,35210,41560,48720,57793,67705,78412,102967,125029,147970,
New_Jersey,79617,107087,133481,201043,278821,393989,560414,696989,859771,1032025,1113136,
New_Mexico,5846,9686,12244,16825,23284,33064,51270,70611,115906,163062,212225,
New_York,347905,418155,493097,667325,922356,1258457,1687590,1960752,2160767,2363722,2448352,
North_Carolina,66148,77688,98716,115671,156540,225297,312167,414120,603181,804341,969048,
North_Dakota,7357,12898,19324,30280,39390,48196,58591,66368,80445,91055,94478,
Ohio,209563,261810,319437,414836,539729,708975,897124,997694,1169460,1406961,1507757,
Oklahoma,15379,41045,64772,96888,144934,193922,248831,299756,376126,424213,455950,
Oregon,16475,28153,42583,67332,92728,133021,183653,226799,303336,391324,438177,
Pennsylvania,261817,325918,394303,508278,677468,886825,1128525,1272126,1530933,1829106,1919165,
Rhode_Island,19798,25020,30190,39953,54284,70418,89540,103932,126922,150547,152402,
South_Carolina,39623,44092,53375,57164,81314,115005,150599,190960,287328,396935,485333,
South_Dakota,12836,19288,25536,36915,44440,55296,71513,80484,91019,102331,108131,
Tennessee,66441,83464,101189,119045,171778,234884,308861,383925,517588,618818,703311,
Texas,74037,110801,163046,232459,347495,513420,745391,992059,1371161,1716576,2072532,
Utah,10055,12369,15883,22665,30215,42418,59957,77561,109220,149958,190222,
Vermont,27771,29262,29694,31253,34492,39534,43741,47488,58166,66163,77510,
Virginia,72846,84981,100008,116678,154944,214524,288970,366021,505304,664470,792333,
Washington,14681,36573,60211,101503,144320,211405,279045,322061,431562,575288,662148,
West_Virginia,32236,42192,56140,73043,100974,138526,172516,194474,237868,268897,276895,
Wisconsin,103192,118637,140406,192059,242182,309917,402736,472865,564197,651221,702553,
Wyoming,1407,2796,4989,8707,12558,18165,25908,30204,37175,47195,57693,
