,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,,
Alabama,177,909,405,465,464,928,1276,2443,7583,16506,,
Alaska,(X),(X),(X),(X),(X),(X),14444,16276,64103,85698,,
Arizona,26480,29201,32989,43726,55076,65761,83387,95812,152745,203527,,
Arkansas,66,460,106,408,278,533,580,2014,9428,12773,,
California,15377,16371,17360,19212,18675,19947,39014,91018,201369,242164,,
Colorado,1437,1482,1383,1395,1360,1567,4288,8836,18068,27776,,
Connecticut,153,152,159,162,201,333,923,2222,4533,6654,,
Delaware,9,5,2,5,14,-,597,656,1328,2019,,
District_of_Columbia,22,68,37,40,190,330,587,956,1031,1466,,
Florida,358,74,518,587,690,1011,2504,6677,19257,36335,,
Georgia,19,95,125,43,106,333,749,2347,7616,13348,,
Hawaii,(X),(X),(X),(X),(X),(X),472,1126,2768,5099,,
Idaho,4226,3488,3098,3638,3537,3800,5231,6687,10521,13780,,
Illinois,16,188,194,469,624,1443,4704,11413,16283,21836,,
Indiana,243,279,125,285,223,438,948,3887,7836,12720,,
Iowa,382,471,529,660,733,1084,1708,2992,5455,7349,,
Kansas,2130,2444,2276,2454,1165,2381,5069,8672,15373,21965,,
Kentucky,102,234,57,22,44,234,391,1531,3610,5769,,
Louisiana,593,780,1066,1536,1801,409,3587,5294,12065,18541,,
Maine,798,892,839,1012,1251,1522,1879,2195,4087,5998,,
Maryland,3,55,32,50,73,314,1538,4239,8021,12972,,
Massachusetts,587,688,555,874,769,1201,2118,4475,7743,12241,,
Michigan,6354,7519,5614,7080,6282,7000,9701,16854,40050,55638,,
Minnesota,9182,9053,8761,11077,12528,12533,15496,23128,35016,49909,,
Mississippi,2203,1253,1105,1458,2134,2502,3119,4113,6180,8525,,
Missouri,130,313,171,578,330,547,1723,5405,12321,19835,,
Montana,11343,10745,10956,14798,16841,16606,21181,27130,37270,47679,,
Nebraska,3322,3502,2888,3256,3401,3954,5545,6624,9195,12410,,
Nevada,5216,5240,4907,4871,4747,5025,6681,7933,13308,19637,,
New_Hampshire,22,34,28,64,50,74,135,361,1352,2134,,
New_Jersey,63,168,100,213,211,621,1699,4706,8394,14970,,
New_Mexico,13144,20573,19512,28941,34510,41901,56255,72788,106119,134355,,
New_York,5257,6046,5503,6973,8651,10640,16491,28355,39582,62651,,
North_Carolina,5687,7851,11824,16579,22546,3742,38129,44406,64652,80155,,
North_Dakota,6968,6486,6254,8387,10114,10766,11736,14369,20158,25917,,
Ohio,42,127,151,435,338,1146,1910,6654,12239,20358,,
Oklahoma,64445,74825,57337,92725,63125,53769,64689,98468,169459,252420,,
Oregon,4951,5090,4590,4776,4594,5820,8026,13510,27314,38496,,
Pennsylvania,1639,1503,337,523,441,1141,2122,5533,9465,14733,,
Rhode_Island,35,284,110,318,196,385,932,1390,2898,4071,,
South_Carolina,121,331,304,959,1234,554,1098,2241,5757,8246,,
South_Dakota,20225,19137,16384,21833,23347,23344,25794,32365,44968,50575,,
Tennessee,108,216,56,161,114,339,638,2276,5104,10039,,
Texas,470,702,2109,1001,1103,2736,5750,17957,40075,65877,,
Utah,2623,3123,2711,2869,3611,4201,6961,11273,19256,24283,,
Vermont,5,26,24,36,16,30,57,229,984,1696,,
Virginia,354,539,824,779,198,1056,2155,4853,9454,15282,,
Washington,10039,10997,9061,11253,11394,13816,21076,33386,60804,81483,,
West_Virginia,12,36,7,18,25,160,181,751,1610,2458,,
Wisconsin,8372,10142,9611,11548,12265,12196,14297,18924,29499,39387,,
Wyoming,1686,1486,1343,1845,2349,3237,4020,4980,7094,9479,,
