,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,
Alabama,23436,(NA),(NA),(NA),35213,52479,84065,151108,273632,358078,453898,
Alaska,(X),(X),(X),(X),(X),(X),9266,10839,26467,41826,52060,
Arizona,5690,(NA),(NA),(NA),15120,25710,49723,88863,199699,337681,472006,
Arkansas,12002,(NA),(NA),(NA),31243,45566,65719,105966,173842,213778,266585,
California,41055,(NA),(NA),(NA),288913,466018,889633,1378643,2130878,2429867,2708308,
Colorado,13330,(NA),(NA),(NA),36189,48844,81847,124444,249781,340962,435778,
Connecticut,9727,(NA),(NA),(NA),27124,41609,87455,149429,235768,297161,344224,
Delaware,1428,(NA),(NA),(NA),5108,7679,14047,25219,43210,57451,74639,
District_of_Columbia,2421,(NA),(NA),(NA),17211,32023,68070,84239,100021,103626,108744,
Florida,10848,(NA),(NA),(NA),49740,90401,225568,426321,885498,1309954,1687303,
Georgia,28666,(NA),(NA),(NA),42115,61252,108082,197180,383806,537702,710523,
Hawaii,(X),(X),(X),(X),(X),(X),18495,25901,50304,68985,88153,
Idaho,6796,(NA),(NA),(NA),14605,18437,25774,36208,64540,80800,105175,
Illinois,39431,(NA),(NA),(NA),167013,252958,443874,646348,970057,1081113,1229807,
Indiana,21281,(NA),(NA),(NA),72291,107490,171247,265072,412992,496841,605428,
Iowa,20242,(NA),(NA),(NA),56975,79359,115947,165709,245931,275466,313083,
Kansas,16803,(NA),(NA),(NA),46722,66178,94090,134179,207287,245156,280387,
Kentucky,15430,(NA),(NA),(NA),39886,56902,90353,149531,252075,321247,414095,
Louisiana,20248,(NA),(NA),(NA),41766,66544,109742,168389,300842,356060,419200,
Maine,8646,(NA),(NA),(NA),18122,24828,35210,50957,84293,108474,139969,
Maryland,9893,(NA),(NA),(NA),31768,47669,87060,175126,304207,394572,495459,
Massachusetts,27725,(NA),(NA),(NA),81004,115334,218107,331247,495677,580774,684345,
Michigan,24728,(NA),(NA),(NA),91065,145009,260252,412505,672901,809449,993607,
Minnesota,19388,(NA),(NA),(NA),59617,84200,135415,204600,335791,413531,509468,
Mississippi,21512,(NA),(NA),(NA),33449,42681,60798,97832,168444,212949,257708,
Missouri,25197,(NA),(NA),(NA),88622,130367,206344,293412,427373,510684,599808,
Montana,10335,(NA),(NA),(NA),24113,25332,33987,43037,66350,80491,98422,
Nebraska,12437,(NA),(NA),(NA),31252,41331,61517,91537,138942,159671,183550,
Nevada,2742,(NA),(NA),(NA),5897,8061,17266,31047,74843,119627,186745,
New_Hampshire,6426,(NA),(NA),(NA),12164,16584,23602,38238,68643,90364,116014,
New_Jersey,16111,(NA),(NA),(NA),62195,97600,203456,351545,537510,646171,751287,
New_Mexico,5134,(NA),(NA),(NA),10832,16056,26866,43136,92862,124883,172181,
New_York,74623,(NA),(NA),(NA),279996,416898,811702,1194544,1649325,1806263,1982742,
North_Carolina,17118,(NA),(NA),(NA),31905,53394,99641,200840,407650,596959,795271,
North_Dakota,7774,(NA),(NA),(NA),12042,14679,20672,30933,52028,63953,75420,
Ohio,41226,(NA),(NA),(NA),138000,196419,344686,547009,859331,1020450,1215614,
Oklahoma,10468,(NA),(NA),(NA),44890,71031,113575,162844,261764,309369,358560,
Oregon,10174,(NA),(NA),(NA),44608,61608,90272,132825,232957,278716,347624,
Pennsylvania,42914,(NA),(NA),(NA),160227,229609,400108,640571,955900,1150694,1320941,
Rhode_Island,4157,(NA),(NA),(NA),13842,20050,35158,53075,81388,99111,116678,
South_Carolina,16683,(NA),(NA),(NA),25051,35171,56640,101385,197379,281347,383142,
South_Dakota,7375,(NA),(NA),(NA),14498,18139,24922,36428,56909,68308,80040,
Tennessee,14033,(NA),(NA),(NA),36627,56180,96999,174781,330052,442129,576401,
Texas,25376,(NA),(NA),(NA),114837,194799,349591,559054,1068518,1452936,1752141,
Utah,4312,(NA),(NA),(NA),11084,17059,28876,42764,77096,101640,124756,
Vermont,4260,(NA),(NA),(NA),7354,9758,13823,22236,39283,49366,63112,
Virginia,17728,(NA),(NA),(NA),34854,55555,101271,200672,382597,523770,676907,
Washington,14262,(NA),(NA),(NA),80242,103607,157125,216864,372269,476320,594325,
West_Virginia,5155,(NA),(NA),(NA),22781,35450,52654,87765,142031,168735,199587,
Wisconsin,18593,(NA),(NA),(NA),58242,79175,140147,225001,371266,443673,557875,
Wyoming,3405,(NA),(NA),(NA),8867,10317,14232,18786,35327,41287,50980,
