,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,,
Alabama,(X),(X),(X),(X),(X),1332,669,2179,7615,5782,,
Alaska,(X),(X),(X),(X),(X),(X),28637,35786,6323,6674,,
Arizona,(X),(X),(X),(X),(X),610,474,9271,227700,332785,,
Arkansas,(X),(X),(X),(X),(X),127,206,1302,6177,6766,,
California,(X),(X),(X),(X),(X),45651,20723,178671,2362541,3939070,,
Colorado,(X),(X),(X),(X),(X),822,792,9272,168779,168136,,
Connecticut,(X),(X),(X),(X),(X),442,802,6845,67220,96142,,
Delaware,(X),(X),(X),(X),(X),510,270,1403,5236,7538,,
District_of_Columbia,(X),(X),(X),(X),(X),1002,1679,3675,9992,14949,,
Florida,(X),(X),(X),(X),(X),475,1290,9457,143126,238470,,
Georgia,(X),(X),(X),(X),(X),267,544,4164,18716,42374,,
Hawaii,(X),(X),(X),(X),(X),(X),114405,98441,42537,21083,,
Idaho,(X),(X),(X),(X),(X),168,317,1989,23109,29783,,
Illinois,(X),(X),(X),(X),(X),2842,4024,32081,341857,476204,,
Indiana,(X),(X),(X),(X),(X),292,1274,6235,42652,41030,,
Iowa,(X),(X),(X),(X),(X),131,577,3410,15851,12750,,
Kansas,(X),(X),(X),(X),(X),368,1160,5286,38880,48797,,
Kentucky,(X),(X),(X),(X),(X),152,435,2351,8714,6976,,
Louisiana,(X),(X),(X),(X),(X),3343,509,3970,19643,21914,,
Maine,(X),(X),(X),(X),(X),78,180,770,4648,1749,,
Maryland,(X),(X),(X),(X),(X),656,1122,8370,27688,44914,,
Massachusetts,(X),(X),(X),(X),(X),628,1996,10488,95678,155288,,
Michigan,(X),(X),(X),(X),(X),1509,2468,18404,93974,86884,,
Minnesota,(X),(X),(X),(X),(X),462,860,4456,25304,21965,,
Mississippi,(X),(X),(X),(X),(X),213,252,1369,4650,3157,,
Missouri,(X),(X),(X),(X),(X),379,1124,6222,21472,21525,,
Montana,(X),(X),(X),(X),(X),415,299,1142,4983,3635,,
Nebraska,(X),(X),(X),(X),(X),173,441,1902,14857,15591,,
Nevada,(X),(X),(X),(X),(X),185,268,2007,21677,52603,,
New_Hampshire,(X),(X),(X),(X),(X),44,149,772,2240,3144,,
New_Jersey,(X),(X),(X),(X),(X),956,2427,22721,200048,275407,,
New_Mexico,(X),(X),(X),(X),(X),250,458,5953,188343,190352,,
New_York,(X),(X),(X),(X),(X),5202,9553,89565,845090,989734,,
North_Carolina,(X),(X),(X),(X),(X),27270,708,5144,19574,31502,,
North_Dakota,(X),(X),(X),(X),(X),22,121,805,2455,1755,,
Ohio,(X),(X),(X),(X),(X),659,2107,13539,63365,58996,,
Oklahoma,(X),(X),(X),(X),(X),1019,1197,5488,36091,42289,,
Oregon,(X),(X),(X),(X),(X),1102,1371,6198,43346,51591,,
Pennsylvania,(X),(X),(X),(X),(X),1251,2761,17056,90921,119476,,
Rhode_Island,(X),(X),(X),(X),(X),165,322,1757,14677,24832,,
South_Carolina,(X),(X),(X),(X),(X),856,237,2235,8382,9217,,
South_Dakota,(X),(X),(X),(X),(X),65,172,715,2249,1533,,
Tennessee,(X),(X),(X),(X),(X),185,579,2604,10659,9204,,
Texas,(X),(X),(X),(X),(X),1074,2123,45026,1160187,1804780,,
Utah,(X),(X),(X),(X),(X),236,483,3071,34930,37775,,
Vermont,(X),(X),(X),(X),(X),38,41,427,1246,808,,
Virginia,(X),(X),(X),(X),(X),1100,1368,6958,32689,58290,,
Washington,(X),(X),(X),(X),(X),4858,2472,12422,84071,115513,,
West_Virginia,(X),(X),(X),(X),(X),98,310,1201,3038,1742,,
Wisconsin,(X),(X),(X),(X),(X),388,1195,5067,32477,41737,,
Wyoming,(X),(X),(X),(X),(X),170,136,878,10642,10636,,
