state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,2641303,876295,522989,21797,1020705,2104425,16506,1936162,1061897,4040587,444893,1506790,2975797
Alaska,377862,149812,22369,19728,22451,260176,85698,289867,105989,550043,82926,188915,415492
Arizona,2353498,832956,478774,55206,110524,1854537,203527,1810691,878561,3665228,490282,1368843,2963186
Arkansas,1484852,515815,350058,12530,373912,1217649,12773,1133076,619938,2350725,271241,891179,1944744
California,20025429,6599040,3135552,2845659,2208801,14862394,242164,14897627,5773943,29760021,4607263,10381206,20524327
Colorado,2231572,733379,329443,59862,133146,1663099,27776,1631295,798277,3294394,484212,1282489,2905474
Connecticut,2209476,631733,445907,50698,274269,1694243,6654,1592873,807481,3287116,422998,1230479,2859353
Delaware,446605,138828,80735,9057,112460,343200,2019,322968,173813,666168,73684,247497,535094
District_of_Columbia,430387,98666,77847,11214,399604,323930,1466,282970,97108,606900,152526,249634,179667
Florida,8156426,2412069,2369431,154302,1759534,6676207,36335,6261719,3452160,12937926,1682709,5134869,10749285
Georgia,4377845,1446101,654270,75781,1746565,3333713,13348,3144503,1536759,6478216,829856,2366615,4600148
Hawaii,745198,238026,125005,685236,27195,544338,5099,563891,191911,1108229,164356,356267,369616
Idaho,625062,260422,121265,9365,3370,505793,13780,500956,252734,1006749,107989,360723,950451
Illinois,7512829,2481228,1436545,285311,1694273,5878369,21836,5552233,2699182,11430602,1503058,4202240,8952978
Indiana,3632331,1215632,696196,37617,432092,2855878,12720,2688281,1450898,5544159,614457,2065355,5020700
Iowa,1743891,606758,426106,25476,48090,1431953,7349,1344802,745377,2776755,318948,1064325,2683090
Kansas,1571159,563844,342571,31750,143076,1262929,21965,1214645,641762,2477574,302964,944726,2231986
Kentucky,2426836,791615,466845,17812,262907,1900061,5769,1785235,960469,3685296,419313,1379782,3391832
Louisiana,2715512,1035470,468991,41099,1299281,2188587,18541,2031386,987919,4219973,511350,1499269,2839138
Maine,805748,258807,163373,6683,5138,630078,5998,597850,327888,1227928,137424,465312,1208360
Maryland,3276631,987355,517482,139719,1189899,2462797,12972,2318671,1137296,4781468,611695,1748991,3393964
Massachusetts,4058540,1138601,819284,143392,300130,3127680,12241,2888745,1331493,6016425,915617,2247110,5405374
Michigan,6125665,2061171,1108461,104983,1291706,4782516,55638,4512781,2427643,9295297,991688,3419331,7756086
Minnesota,2832228,995937,546934,77886,94944,2229916,49909,2145183,1183673,4375099,464180,1647853,4130395
Mississippi,1631344,620588,321284,13016,915057,1342599,8525,1230617,651587,2573216,259787,911374,1633461
Missouri,3290817,1108575,717681,41277,548208,2652758,19835,2464315,1348746,5117073,612460,1961206,4486228
Montana,505035,187533,106497,4259,2381,403296,47679,395769,205899,799065,100264,306163,741111
Nebraska,991927,363390,223068,12422,57404,808946,12410,769439,400394,1578385,201969,602363,1480558
Nevada,820415,253787,127631,38127,78771,589953,19637,611880,255388,1201833,210909,466297,1012695
New_Hampshire,747292,236931,125029,9343,7198,565708,2134,543544,280372,1109252,130814,411186,1087433
New_Jersey,5191499,1506664,1032025,272521,1036825,3994503,14970,3735685,1813381,7730188,981330,2794711,6130465
New_Mexico,973438,378569,163062,14124,30210,769816,134355,745253,365965,1515069,176744,542709,1146028
New_York,12052786,3573947,2363722,693760,2859055,9364782,62651,8625673,3464436,17990455,3174886,6639322,13385255
North_Carolina,4488880,1335416,804341,52166,1456323,3414347,80155,3214290,1711817,6628637,805209,2517026,5008491
North_Dakota,399048,148697,91055,3462,3524,320599,25917,318201,157950,638800,82928,240878,604142
Ohio,7093048,2347106,1406961,91179,1154826,5620775,20358,5226340,2758149,10847115,1329397,4087546,9521756
Oklahoma,2018835,702537,424213,33563,233801,1614766,252420,1530819,821188,3145585,384947,1206135,2583512
Oregon,1838436,612561,391324,69269,46178,1445248,38496,1397073,695957,2842321,407356,1103313,2636787
Pennsylvania,7712017,2340520,1829106,137438,1089795,6187378,14733,5694265,3176121,11881643,1319845,4495966,10520201
Rhode_Island,662811,190106,150547,18325,38861,521968,4071,481496,224792,1003464,153185,377977,917375
South_Carolina,2323636,766132,396935,22382,1039884,1798193,8246,1688510,878704,3486703,379340,1258044,2406974
South_Dakota,424937,168736,102331,3123,3258,353506,50575,342498,171161,696004,87873,259034,637515
Tennessee,3248486,1009881,618818,31839,778035,2528257,10039,2348928,1261118,4877185,592607,1853725,4048068
Texas,11189354,4080580,1716576,319459,2021632,8620547,65877,8365963,3695115,16986510,2375822,6070937,12774762
Utah,1035739,537153,149958,33371,11576,867091,24283,855759,365979,1722850,171294,537273,1615845
Vermont,375555,121040,66163,3215,1951,287266,1696,275492,145368,562758,65282,210650,555088
Virginia,4256841,1266047,664470,159053,1162994,3153384,15282,3033974,1519521,6187358,772309,2291830,4791739
Washington,3215869,1075535,575288,210958,149801,2452945,81483,2413747,1171580,4866692,700851,1872431,4308937
West_Virginia,1163234,361346,268897,7459,56295,931941,2458,861536,510058,1793477,178499,688557,1725523
Wisconsin,3149928,1090620,651221,53583,244539,2498834,39387,2392935,1215350,4891769,606768,1822118,4512523
Wyoming,292079,114314,47195,2806,3606,226581,9479,227007,114544,453588,54295,168839,427061
