,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,
Alabama,1014995,1218923,1344804,1596704,1780594,1862728,1897041,2098046,2515215,2641303,2935713,
Alaska,(X),(X),(X),(X),(X),(X),140478,190463,282030,377862,433210,
Arizona,77859,133137,211786,275875,321418,466269,759140,1071895,1766330,2353498,3312327,
Arkansas,731333,906960,1017658,1132554,1238012,1150689,1022241,1144700,1432510,1484852,1737637,
California,1008202,1700129,2401859,4002500,4984839,7091646,9577305,12627666,16098885,20025429,22492307,
Colorado,358357,542082,609554,673913,748875,845416,1026729,1375150,1986862,2231572,2967758,
Connecticut,602084,744699,895876,1067172,1217981,1353590,1545345,1889362,2095483,2209476,2226307,
Delaware,117777,132942,145592,157346,185427,209808,266979,338889,403062,446605,519256,
District_of_Columbia,197074,236187,324955,357194,503700,584630,501141,497326,450930,430387,404222,
Florida,307861,459459,602099,958932,1290668,1808028,2931617,4050170,6181977,8156426,10140216,
Georgia,1226736,1485021,1679867,1784210,2007822,2135936,2328706,2849173,3615010,4377845,5582685,
Hawaii,(X),(X),(X),(X),(X),(X),385852,493986,662766,745198,804687,
Idaho,97840,207071,264276,276784,343019,358431,377484,428493,594772,625062,845030,
Illinois,3030932,3714530,4283042,5221401,5621277,5865339,6104817,6850092,7553394,7512829,8207764,
Indiana,1580234,1751856,1894289,2106442,2317212,2519801,2735411,3169257,3598195,3632331,4017750,
Iowa,1361103,1408558,1537525,1586398,1686651,1642207,1572000,1667330,1861855,1743891,1888548,
Kansas,894328,1061521,1109930,1208341,1204427,1211932,1266030,1365399,1532161,1571159,1743889,
Kentucky,1254131,1372518,1450507,1581744,1792294,1801120,1766076,1959544,2377062,2426836,2712336,
Louisiana,777550,965066,1083071,1318582,1542438,1661737,1867439,2178160,2722327,2715512,2949963,
Maine,448369,477015,488246,498997,545594,566758,561743,591475,726772,805748,845521,
Maryland,740421,832271,945123,1074850,1263881,1553635,1881577,2464030,2899598,3276631,3560333,
Massachusetts,1885083,2279274,2563652,2845071,3007321,3113002,3096136,3485162,3837225,4058540,4229559,
Michigan,1523962,1817806,2374449,3178679,3611096,4165598,4593214,5414582,6135713,6125665,6555228,
Minnesota,1042720,1323178,1529752,1657965,1890531,1889454,1938148,2246625,2659484,2832228,3264730,
Mississippi,852558,1014592,1032669,1219532,1355847,1286089,1207842,1294787,1570678,1631344,1861109,
Missouri,1903512,2112659,2212937,2411996,2573276,2561052,2551434,2825418,3176822,3290817,3658956,
Montana,166109,261909,351371,350918,381304,370068,382155,417743,514899,505035,595116,
Nebraska,641596,749510,813557,882856,878671,846447,811349,879548,1002243,991927,1109641,
Nevada,28853,61242,54407,64159,78601,107672,179862,313714,561172,820415,1344996,
New_Hampshire,271524,283115,287137,298568,327907,339866,356707,444993,610371,747292,830339,
New_Jersey,1222755,1689408,2066968,2742659,3006582,3320064,3757579,4478892,4927475,5191499,5542323,
New_Mexico,112857,196402,213971,250995,324942,410970,539064,606694,848541,973438,1187713,
New_York,4798984,6195752,6995306,8757856,9779490,10219805,10467643,11398793,11670441,12052786,12604398,
North_Carolina,1040395,1231275,1423891,1851926,2253864,2524909,2722881,3215276,3944593,4488880,5426836,
North_Dakota,185556,350841,374835,416441,411955,379264,356170,365501,417461,399048,417876,
Ohio,2658540,3155032,3792778,4403470,4789023,5184058,5730737,6546634,7132915,7093048,7446296,
Oklahoma,444587,967245,1198461,1489700,1508617,1400048,1381734,1570962,1955609,2018835,2261797,
Oregon,269994,469977,526536,652974,765651,984669,1039745,1294897,1739891,1838436,2283645,
Pennsylvania,3987374,4959478,5515655,6232944,6827126,6981934,6895751,7344287,7848462,7712017,7942291,
Rhode_Island,287373,367168,399469,455335,501262,535437,526120,592595,627905,662811,688746,
South_Carolina,726612,839292,941565,1012375,1177805,1266075,1381867,1611847,2076154,2323636,2686278,
South_Dakota,233432,362784,388702,430881,420092,407069,380519,387625,434032,424937,481695,
Tennessee,1162962,1290757,1390982,1625261,1888060,2067400,2130208,2442981,3027576,3248486,3820124,
Texas,1694573,2273275,2837979,3711934,4270762,4950998,5662052,6876203,9339092,11189354,13869284,
Utah,152512,221040,263560,304075,347130,415465,496378,629163,889987,1035739,1448248,
Vermont,220130,228206,221817,226530,232210,232324,223539,265627,336787,375555,410830,
Virginia,1066930,1210976,1379829,1485350,1755997,2138656,2409313,2959140,3662253,4256841,4833161,
Washington,339264,797387,919378,1070653,1225349,1540751,1681975,2129377,2776465,3215869,3976922,
West_Virginia,554894,728659,860322,1034711,1206642,1230550,1089427,1076005,1255902,1163234,1202312,
Wisconsin,1223096,1462660,1666599,1896252,2113173,2198085,2279938,2627277,3057579,3149928,3536224,
Wyoming,62585,103707,127671,148338,171465,187822,192784,203418,311116,292079,332646,
