,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,,
Alabama,61,70,85,105,110,275,915,2245,9734,21797,,
Alaska,(X),(X),(X),(X),(X),(X),1769,2642,8054,19728,,
Arizona,1700,1676,1719,2547,2400,2731,5380,7525,22032,55206,,
Arkansas,62,72,121,296,447,705,996,1619,6740,12530,,
California,55904,79861,106027,168731,167643,143280,318376,522270,1253818,2845659,,
Colorado,647,2674,2825,3775,3258,5870,8175,10388,29916,59862,,
Connecticut,617,533,694,687,642,704,2244,6007,18970,50698,,
Delaware,52,34,51,55,87,99,410,1310,4112,9057,,
District_of_Columbia,462,427,708,780,1309,2178,4690,4895,6636,11214,,
Florida,121,242,312,406,540,667,3699,12315,56740,154302,,
Georgia,205,237,228,317,412,639,2004,4673,24457,75781,,
Hawaii,(X),(X),(X),(X),(X),(X),310722,363261,583252,685236,,
Idaho,2758,2234,2180,1886,1449,2224,2758,2959,5948,9365,,
Illinois,1583,2392,3479,5946,4969,15853,24708,44427,159653,285311,,
Indiana,212,316,384,458,334,814,2447,5759,20557,37617,,
Iowa,111,136,306,222,150,620,1189,2616,11577,25476,,
Kansas,43,123,150,204,229,431,2271,3575,15078,31750,,
Kentucky,57,64,75,75,127,409,1298,2265,9970,17812,,
Louisiana,616,648,575,1019,1037,653,2004,3712,23779,41099,,
Maine,123,121,170,130,128,107,597,1007,2947,6683,,
Maryland,553,402,413,871,759,1084,5700,15423,64278,139719,,
Massachusetts,3021,2747,2811,3383,2965,4011,9478,20766,49501,143392,,
Michigan,249,292,1089,2285,1836,3136,7579,15285,56790,104983,,
Minnesota,217,344,619,832,862,1769,3642,6481,26536,77886,,
Mississippi,237,263,367,568,757,1073,1481,2377,7412,13016,,
Missouri,458,638,599,1073,761,1046,3146,7207,23096,41277,,
Montana,4180,2894,2015,1654,1027,733,1082,1099,2503,4259,,
Nebraska,183,730,1023,932,638,821,1318,2189,7002,12422,,
Nevada,1580,1846,1455,1156,806,663,1402,2859,14164,38127,,
New_Hampshire,113,68,103,88,71,118,400,937,2929,9343,,
New_Jersey,1445,1345,1581,2630,1894,3602,8778,20537,103848,272521,,
New_Mexico,349,506,432,431,324,417,1484,1889,6825,14124,,
New_York,7524,6532,9214,15088,19724,24064,51678,116008,310526,693760,,
North_Carolina,51,82,113,92,144,443,2012,4264,21176,52166,,
North_Dakota,180,98,197,230,156,143,274,608,1979,3462,,
Ohio,398,645,1163,1785,1282,3528,6585,14350,47820,91179,,
Oklahoma,58,187,344,339,232,534,1414,3019,17275,33563,,
Oregon,12898,11093,7509,8179,6794,5762,9120,13290,34775,69269,,
Pennsylvania,1967,1976,2386,3563,2578,3287,7729,17074,64379,137438,,
Rhode_Island,379,305,271,240,321,428,1190,3483,5303,18325,,
South_Carolina,67,65,163,76,98,135,946,2569,11834,22382,,
South_Dakota,166,163,184,101,65,100,336,467,1738,3123,,
Tennessee,79,53,78,105,85,334,1243,3616,13963,31839,,
Texas,849,943,1260,1578,1785,3392,9848,17614,120313,319459,,
Utah,989,2501,3338,3903,2544,4787,5207,6386,15076,33371,,
Vermont,39,11,15,41,25,48,172,360,1355,3215,,
Virginia,253,168,437,466,543,758,4725,13801,66209,159053,,
Washington,9246,15824,20900,23642,19226,13102,29253,40998,102537,210958,,
West_Virginia,56,93,114,103,93,145,419,1463,5194,7459,,
Wisconsin,217,263,317,464,412,1119,2836,6557,18164,53583,,
Wyoming,854,1926,1538,1229,840,556,805,966,1969,2806,,
