,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,,
Alabama,827307,908282,900652,944834,983290,979617,980271,903467,996335,1020705,,
Alaska,(X),(X),(X),(X),(X),(X),6771,8911,13643,22451,,
Arizona,1848,2009,8005,10749,14993,25974,43403,53344,74977,110524,,
Arkansas,366856,442891,472220,478463,482578,426639,388787,352445,373768,373912,,
California,11045,21645,38763,81048,124306,462172,883861,1400143,1819281,2208801,,
Colorado,8570,11453,11318,11828,12176,20177,39992,66411,101703,133146,,
Connecticut,15226,15174,21046,29354,32992,53472,107449,181177,217433,274269,,
Delaware,30697,31181,30335,32602,35876,43598,60688,78276,95845,112460,,
District_of_Columbia,86702,94446,109966,132068,187266,280803,411737,537712,448906,399604,,
Florida,230730,308669,329487,431828,514198,603101,880186,1041651,1342688,1759534,,
Georgia,1034813,1176987,1206365,1071125,1084927,1062762,1122596,1187149,1465181,1746565,,
Hawaii,(X),(X),(X),(X),(X),(X),4943,7573,17364,27195,,
Idaho,293,651,920,668,595,1050,1502,2130,2716,3370,,
Illinois,85078,109049,182274,328972,387446,645980,1037470,1425674,1675398,1694273,,
Indiana,57505,60320,80810,111982,121916,174168,269275,357464,414785,432092,,
Iowa,12693,14973,19005,17380,16694,19692,25354,32596,41700,48090,,
Kansas,52003,54030,57925,66344,65138,73158,91445,106977,126127,143076,,
Kentucky,284706,261656,235938,226040,214031,201921,215949,230793,259477,262907,,
Louisiana,650804,713874,700257,776326,849303,882428,1039207,1086832,1238241,1299281,,
Maine,1319,1363,1310,1096,1304,1221,3318,2800,3128,5138,,
Maryland,235064,232250,244479,276379,301931,385972,518410,699479,958150,1189899,,
Massachusetts,31974,38055,45466,52365,55391,73171,111842,175817,221279,300130,,
Michigan,15816,17115,60082,169453,208345,442296,717581,991066,1199023,1291706,,
Minnesota,4959,7084,8809,9445,9928,14022,22263,34868,53344,94944,,
Mississippi,907630,1009487,935184,1009718,1074578,986494,915743,815770,887206,915057,,
Missouri,161234,157452,178241,223840,244386,297088,390853,480172,514276,548208,,
Montana,1523,1834,1658,1256,1120,1232,1467,1995,1786,2381,,
Nebraska,6269,7689,13242,13752,14171,19234,29262,39911,48390,57404,,
Nevada,134,513,346,516,664,4302,13484,27762,50999,78771,,
New_Hampshire,662,564,621,790,414,731,1903,2505,3990,7198,,
New_Jersey,69844,89760,117132,208828,226973,318565,514875,770292,925066,1036825,,
New_Mexico,1610,1628,5733,2850,4672,8408,17063,19555,24020,30210,,
New_York,99232,134191,198483,412814,571221,918191,1417511,2168949,2402006,2859055,,
North_Carolina,624469,697843,763407,918647,981298,1047353,1116021,1126478,1318857,1456323,,
North_Dakota,286,617,467,377,201,257,777,2494,2568,3524,,
Ohio,96901,111452,186187,309304,339461,513072,786097,970477,1076748,1154826,,
Oklahoma,55684,137612,149408,172198,168849,145503,153084,171892,204674,233801,,
Oregon,1105,1492,2144,2234,2565,11529,18133,26308,37060,46178,,
Pennsylvania,156845,193919,284568,431257,470172,638485,852750,1016514,1046810,1089795,,
Rhode_Island,9092,9529,10036,9913,11024,13903,18332,25338,27584,38861,,
South_Carolina,782321,835843,864719,793681,814164,822077,829291,789041,948623,1039884,,
South_Dakota,465,817,832,646,474,727,1114,1627,2144,3258,,
Tennessee,480243,473088,451758,477646,508736,530603,586876,621261,725942,778035,,
Texas,620722,690049,741694,854964,924391,977458,1187125,1399005,1710175,2021632,,
Utah,672,1144,1446,1108,1235,2729,4148,6617,9225,11576,,
Vermont,826,1621,572,568,384,443,519,761,1135,1951,,
Virginia,660722,671096,690017,650165,661449,734211,816258,861368,1008668,1162994,,
Washington,2514,6058,6883,6840,7424,30691,48738,71308,105574,149801,,
West_Virginia,43499,64173,86345,114893,117754,114867,89378,67342,65051,56295,,
Wisconsin,2542,2900,5201,10739,12158,28182,74546,128224,182592,244539,,
Wyoming,940,2235,1375,1250,956,2557,2183,2568,3364,3606,,
