,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
Alabama,911933,1063884,1175069,1331239,1433060,1559103,1675031,1782224,2022354,2104425,2300596
Alaska,(X),(X),(X),(X),(X),(X),97356,137124,188810,260176,302820
Arizona,51136,85780,150560,204269,241091,370528,647233,899894,1380273,1854537,2569575
Arkansas,636252,764423,856976,914639,966471,957977,907285,990985,1181747,1217649,1368707
California,664522,1054571,1613270,2734656,3391657,5290594,7880497,10136449,12001417,14862394,16996756
Colorado,244368,368327,446898,505039,554518,659940,883480,1117882,1455671,1663099,2135278
Connecticut,454126,551114,685296,805600,859319,1018783,1291005,1561222,1609571,1694243,1756246
Delaware,90577,98887,109248,117123,132172,160741,225156,280772,307739,343200,403059
District_of_Columbia,146714,173019,234028,254986,345569,424260,405785,405019,342916,323930,302693
Florida,253296,358453,473150,730536,954291,1404388,2514777,3513872,5070698,6676207,8184663
Georgia,1113130,1304102,1451009,1473979,1588965,1755911,2017203,2358879,2822660,3333713,4159340
Hawaii,(X),(X),(X),(X),(X),(X),294599,369356,470008,544338,602866
Idaho,68405,140048,197947,207685,248294,285400,328770,356817,472780,505793,645293
Illinois,2348768,2726917,3180447,3757197,3940092,4392925,5128292,5722140,5888981,5878369,6338957
Indiana,1231058,1317581,1441316,1598442,1702595,1975708,2363760,2662499,2824399,2855878,3098011
Iowa,1075004,1076600,1174629,1215838,1257774,1310790,1398490,1451509,1497418,1431953,1490809
Kansas,701779,805037,860036,919708,894688,951765,1097234,1145005,1206738,1262929,1359944
Kentucky,1056947,1128196,1189136,1291796,1409815,1469819,1529708,1639670,1871738,1900061,2066401
Louisiana,686892,821113,895174,1053770,1191498,1364350,1664768,1869822,2166006,2188587,2306073
Maine,343471,365319,379262,396138,421405,459629,490211,509183,578425,630078,654614
Maryland,598769,651121,720206,810517,906206,1176398,1567489,2006078,2174165,2462797,2738692
Massachusetts,1437872,1711168,1962342,2177942,2214242,2420147,2662343,2969772,3006144,3127680,3290281
Michigan,1172077,1355639,1739976,2323016,2561379,3159647,3940326,4526435,4745889,4782516,5065349
Minnesota,818904,967197,1141588,1247382,1364755,1481275,1720902,1941161,2078144,2229916,2483848
Mississippi,769819,891354,893494,1004680,1099314,1102123,1110208,1142695,1306760,1342599,1471104
Missouri,1510955,1605522,1680736,1806501,1903412,2013790,2211534,2420549,2551199,2652758,2875034
Montana,93487,149181,248948,244378,260447,281601,331024,347404,394065,403296,452715
Nebraska,501708,564432,623567,671615,650046,658178,711304,759038,803931,808946,867912
Nevada,16732,29324,31167,37897,48906,75066,137757,240940,395433,589953,980206
New_Hampshire,206209,214282,220971,233534,246615,270818,308814,377009,472148,565708,628099
New_Jersey,941909,1250704,1565825,2010690,2091006,2452585,3094791,3700791,3831811,3994503,4331537
New_Mexico,91082,152056,169894,204095,259972,333643,471253,515176,660737,769816,924729
New_York,3654114,4529017,5197877,6275546,6788816,7590248,8659065,9521628,9218650,9364782,9829709
North_Carolina,955133,1107811,1280061,1595068,1798633,2044824,2309086,2593692,3026381,3414347,4106618
North_Dakota,141653,259502,305199,321230,306533,296692,309238,306152,324291,320599,321676
Ohio,2054890,2332363,2803414,3285556,3446540,4018093,4942169,5488644,5580493,5620775,5840878
Oklahoma,367080,775577,970239,1162776,1154542,1117796,1180433,1312874,1548585,1614766,1754759
Oregon,180551,288500,367055,454114,526995,748565,888736,1067433,1336539,1445248,1724849
Pennsylvania,3097574,3722905,4290997,4785833,4948973,5327601,5809515,6128495,6181305,6187378,6351391
Rhode_Island,218040,272296,306873,352125,363942,401313,437643,482434,495903,521968,544684
South_Carolina,675421,763558,845431,885607,964565,1076487,1206776,1318429,1603807,1798193,2063083
South_Dakota,185406,266776,299427,329199,310447,315489,336243,335474,350085,353506,380286
Tennessee,999392,1081298,1163918,1311997,1470012,1668611,1826399,2026013,2374520,2528257,2919008
Texas,1469810,1878916,2254006,2858721,3193721,3848052,4834696,5715561,7230468,8620547,10498910
Utah,135062,176488,217345,247848,271690,341226,445703,536008,736536,867091,1114138
Vermont,168503,173388,173574,176345,177007,189993,198138,227164,262376,287266,310490
Virginia,928287,1026264,1140695,1205805,1328769,1643464,1987577,2351373,2728508,3153384,3606620
Washington,213925,483327,621920,737004,830434,1155112,1418177,1715422,2079849,2452945,2959821
West_Virginia,459558,577075,700601,839334,933392,999265,945386,899568,1004236,931941,929174
Wisconsin,1001480,1125282,1275349,1428191,1537411,1707733,1987265,2250358,2400340,2498834,2714634
Wyoming,34347,54295,84043,100780,115687,135676,161051,165641,228997,226581,245408
