,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,
Alabama,122449,154716,172363,198472,226460,388996,528031,689411,941219,1061897,1258705,
Alaska,(X),(X),(X),(X),(X),(X),27679,39747,76663,105989,138509,
Arizona,15317,22712,33075,45808,62842,118620,234347,352043,653833,878561,1293556,
Arkansas,119827,151002,171253,168767,196916,285599,321219,410438,575478,619938,723535,
California,146994,270379,382834,726072,928796,1811684,2910093,3611347,4825252,5773943,6546334,
Colorado,54965,96728,116781,131571,146455,227298,337565,438120,684408,798277,1116137,
Connecticut,76855,90457,115181,171202,181629,290968,465672,583381,699224,807481,869729,
Delaware,13641,17794,22829,30187,33213,53247,85971,112120,143073,173813,216038,
District_of_Columbia,12998,17375,28503,47220,51944,72362,75532,73980,89846,97108,101214,
Florida,50930,72027,94990,153956,226655,473124,1047217,1566864,2557079,3452160,4441799,
Georgia,129667,164116,188185,194459,231689,413696,601631,836323,1216459,1536759,2029154,
Hawaii,(X),(X),(X),(X),(X),(X),62937,95271,151954,191911,227888,
Idaho,24370,47045,59208,59584,82078,110694,136746,153589,233393,252734,339960,
Illinois,451597,545999,658260,882999,882870,1294249,1782127,2081101,2533832,2699182,3088884,
Indiana,312283,352295,395402,474196,510636,766018,986098,1153249,1381918,1450898,1669162,
Iowa,282760,292951,332567,340778,361477,494826,581352,642676,756517,745377,831419,
Kansas,183286,228504,241456,267115,260495,375033,463350,502585,612435,641762,718703,
Kentucky,218142,251059,275993,306284,335350,456797,547750,657909,884825,960469,1125397,
Louisiana,83575,106953,126410,165731,218447,364945,526366,663927,925139,987919,1125135,
Maine,102537,109298,108829,119898,125390,159824,186379,212199,280377,327888,370905,
Maryland,90702,117297,159262,208563,220765,360718,556391,690514,905535,1137296,1341751,
Massachusetts,206127,240445,301245,439238,426785,624838,857436,1012173,1169819,1331493,1508052,
Michigan,330276,398616,499471,685516,773755,1208975,1665603,1974548,2321883,2427643,2793124,
Minnesota,208189,251092,312367,349908,402318,561177,714960,824629,1035689,1183673,1412865,
Mississippi,102645,127157,132900,149973,178118,265061,327894,421900,587696,651587,756967,
Missouri,322244,374461,401667,459810,472950,691256,874532,1021106,1248785,1348746,1542149,
Montana,28563,48757,81840,71419,83126,105744,129399,142774,194580,205899,247723,
Nebraska,120705,153155,169098,181369,169966,238810,280867,314600,390931,400394,449317,
Nevada,6511,11925,9938,11551,15353,24484,51491,93676,181274,255388,457247,
New_Hampshire,50593,52052,52778,64823,68705,90213,117232,153771,218823,280372,330700,
New_Jersey,136055,191177,271914,470509,433878,729993,1107841,1349815,1579827,1813381,2011473,
New_Mexico,29223,54537,48152,54439,74150,104131,163926,192231,300570,365965,474445,
New_York,521537,622125,738738,1155036,1111388,1638860,2350265,2795635,3083406,3464436,3739166,
North_Carolina,165222,203552,235842,279946,335063,530371,724631,987290,1397425,1711817,2172355,
North_Dakota,49163,87641,84904,81352,75710,107341,118566,124190,156498,157950,171299,
Ohio,481592,574085,719097,912295,948354,1413086,1922686,2226021,2622919,2758149,3072522,
Oklahoma,84293,154571,193840,225266,261162,397811,492263,588895,790614,821188,918259,
Oregon,50174,87688,108772,154283,187044,312828,386608,457017,645941,695957,856951,
Pennsylvania,523843,662091,853471,1198420,1154948,1739833,2289741,2549277,2950649,3176121,3406337,
Rhode_Island,26009,32849,41921,67467,70190,102071,140336,168923,199075,224792,245156,
South_Carolina,77054,93757,108179,111257,133279,232284,345756,485427,722547,878704,1107617,
South_Dakota,56785,86539,84712,82482,74388,113780,130864,139681,168002,171161,197940,
Tennessee,179175,213125,241875,270260,315182,492643,639600,809376,1110074,1261118,1561363,
Texas,261933,350176,421875,557686,717682,1241540,1799477,2222469,3169512,3695115,4716959,
Utah,36724,48131,57985,69583,85225,122600,173296,206570,317172,365979,501547,
Vermont,47751,49489,48370,52813,51709,63397,73115,91285,122560,145368,169784,
Virginia,170574,211322,242062,272208,306688,465933,658078,862591,1221555,1519521,1837939,
Washington,57204,140367,183322,245138,306174,477897,612443,738186,1011319,1171580,1467009,
West_Virginia,98469,120583,141362,168543,194409,284924,335068,376767,504921,510058,553699,
Wisconsin,274010,316578,371822,440197,450208,613959,786617,918123,1127367,1215350,1426361,
Wyoming,9674,16961,24060,26425,33749,45428,61676,69440,114653,114544,135514,
