,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,
Alabama,231180,285722,319756,381466,447355,397843,356085,344702,400637,444893,478375,
Alaska,(X),(X),(X),(X),(X),(X),29571,39312,54800,82926,83091,
Arizona,10545,23408,44163,56380,68291,91754,132283,187114,303199,490282,607771,
Arkansas,130411,173251,208491,251897,298909,238792,202333,204986,240587,271241,319161,
California,162275,275723,493177,848888,1209547,1521722,2072015,2962514,3804614,4607263,4956536,
Colorado,61386,90929,109501,127979,169545,163937,191854,252808,376841,484212,542101,
Connecticut,119094,151960,190964,213445,267053,278670,287064,349888,394454,422998,431941,
Delaware,23835,25951,28287,27804,37328,37143,42611,52684,64008,73684,82698,
District_of_Columbia,40753,51607,65654,75254,121501,151780,176534,188558,163297,152526,147124,
Florida,55920,90806,128678,212740,293232,348377,503197,717922,1187175,1682709,1896130,
Georgia,291447,373887,421047,440011,520552,475573,468694,532902,655193,829856,977215,
Hawaii,(X),(X),(X),(X),(X),(X),90127,107817,142098,164356,175352,
Idaho,9218,22035,38013,44996,59649,58416,57093,65371,90714,107989,129685,
Illinois,547369,693083,846071,1017115,1309854,1287751,1302844,1421037,1511542,1503058,1502895,
Indiana,242588,290727,326192,353807,450862,402898,401780,456245,545132,614457,667144,
Iowa,183053,208344,239880,282607,340347,285341,260005,253635,296516,318948,317857,
Kansas,126240,157817,182784,210106,250614,211617,209549,224779,259804,302964,319188,
Kentucky,204009,235433,258643,290379,363188,321957,304117,325756,378530,419313,465250,
Louisiana,181577,225433,248802,307273,374081,360000,365978,388111,486649,511350,530918,
Maine,55028,65523,73860,74358,93578,94619,93976,90724,114807,137424,147295,
Maryland,135353,149201,160219,169359,244918,280504,306610,484559,555330,611695,639108,
Massachusetts,379696,484932,564097,569645,693909,680356,677549,747519,862898,915617,935528,
Michigan,198078,247152,349054,476682,622259,581727,573476,678511,873330,991688,992537,
Minnesota,118034,154340,202222,243696,326041,284088,277021,329317,409533,464180,482262,
Mississippi,194637,247106,257971,311586,356838,289704,240176,214824,239473,259787,289467,
Missouri,307492,358514,409068,461203,595692,506341,485522,499461,544614,612460,652445,
Montana,20556,32511,53362,59636,76837,69726,72841,74530,89162,100264,110944,
Nebraska,90711,106099,125713,152835,190778,155338,152581,159121,180469,201969,216867,
Nevada,3134,10421,10940,12977,17938,25757,40029,66376,123053,210909,293918,
New_Hampshire,42840,49549,53159,53078,64231,64990,62788,71607,104670,130814,143906,
New_Jersey,259848,355076,438911,502497,666382,643644,698598,868367,968767,981330,1053172,
New_Mexico,13118,22704,32907,40428,55325,72862,87283,97158,140896,176744,203526,
New_York,1043800,1387900,1670088,1957733,2550725,2686279,2898445,3118226,3257023,3174886,3317694,
North_Carolina,188162,227239,261303,349555,454596,463985,480084,522274,645866,805209,959658,
North_Dakota,11863,28123,45050,57399,76333,54764,54796,57423,71166,82928,85853,
Ohio,431301,545519,673858,763650,949442,900904,929871,1063411,1210909,1329397,1373251,
Oklahoma,70903,186109,231813,320555,349319,265392,242330,261908,327947,384947,424034,
Oregon,33745,58279,89588,106712,150448,166219,171606,234614,345652,407356,476772,
Pennsylvania,742385,929256,1035534,1003159,1360576,1176046,1061098,1156133,1268957,1319845,1370666,
Rhode_Island,64362,83134,92800,96432,117516,123376,116999,123042,139515,153185,163268,
South_Carolina,174448,210904,227657,248335,301689,282354,257795,248946,307434,379340,426237,
South_Dakota,22610,40302,53099,72902,91040,69198,63957,61126,74521,87873,92305,
Tennessee,206077,240515,264982,314841,399712,378831,363701,403811,508431,592607,671542,
Texas,299312,425770,563597,779269,960714,947638,978639,1211527,1759755,2375822,2676395,
Utah,17012,26144,38598,44610,54262,65225,68236,91364,131431,171294,199734,
Vermont,31014,35112,35706,35563,40726,40099,37617,40813,55765,65282,70850,
Virginia,177087,198860,231563,247497,320844,379326,414762,528045,641518,772309,861234,
Washington,45113,104471,151513,167609,231163,257849,281725,367401,529191,700851,804389,
West_Virginia,80759,123068,160528,198736,250406,233357,186074,170447,181390,178499,182782,
Wisconsin,137009,173787,212464,256811,376999,353489,359725,410681,524894,606768,658183,
Wyoming,7388,14159,22271,28322,35625,38757,37511,35160,50971,54295,58094,
