,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,
Alabama,370980,454767,508769,591625,673815,786839,884116,1034113,1341856,1506790,1737080,
Alaska,(X),(X),(X),(X),(X),(X),57250,79059,131463,188915,221600,
Arizona,27817,47927,80208,105992,131133,210374,366630,539157,957032,1368843,1901327,
Arkansas,262421,333368,390960,438639,495825,524391,523552,615424,816065,891179,1042696,
California,324690,563636,900232,1610030,2138343,3333406,4982108,6573861,8629866,10381206,11502870,
Colorado,122349,194467,230843,267324,316000,391235,529419,690928,1061249,1282489,1658238,
Connecticut,200640,246659,311610,388645,448682,569638,752736,933269,1093678,1230479,1301670,
Delaware,39007,44951,52070,59092,70541,90390,128582,164804,207081,247497,298736,
District_of_Columbia,55465,71339,96194,125554,173445,224142,252066,262538,253143,249634,248338,
Florida,113629,171422,234133,376499,519887,821501,1550414,2284786,3744254,5134869,6337929,
Georgia,450712,553264,628525,652793,752241,889269,1070325,1369225,1871652,2366615,3006369,
Hawaii,(X),(X),(X),(X),(X),(X),153064,203088,294052,356267,403240,
Idaho,35819,73669,100500,108044,141727,169110,193839,218960,324107,360723,469645,
Illinois,1024189,1264717,1534077,1929396,2192724,2582000,3084971,3502138,4045374,4202240,4591779,
Indiana,567072,654891,737707,843066,961498,1168916,1387878,1609494,1927050,2065355,2336306,
Iowa,476710,512515,586070,635704,701824,780167,841357,896311,1053033,1064325,1149276,
Kansas,319422,395771,435600,487188,511109,586650,672899,727364,872239,944726,1037891,
Kentucky,434228,494788,546306,609405,698538,778754,851867,983665,1263355,1379782,1590647,
Louisiana,281449,344144,389913,485363,592528,724945,892344,1052038,1411788,1499269,1656053,
Maine,161588,177960,186106,197826,218968,254443,280355,302923,395184,465312,518200,
Maryland,239837,274824,324742,385179,465683,641222,863001,1175073,1460865,1748991,1980859,
Massachusetts,604873,734013,874798,1021160,1120694,1305194,1534985,1759692,2032717,2247110,2443580,
Michigan,542358,657418,862745,1180554,1396014,1790702,2239079,2653059,3195213,3419331,3785661,
Minnesota,337284,416452,526026,606496,728359,845265,991981,1153946,1445222,1647853,1895127,
Mississippi,316114,384724,403198,471704,534956,554765,568070,636724,827169,911374,1046434,
Missouri,646872,749812,829043,939476,1068642,1197597,1360054,1520567,1793399,1961206,2194594,
Montana,52125,86602,139912,136210,159963,175470,202240,217304,283742,306163,358667,
Nebraska,217990,265549,303436,342999,360744,394148,433448,473721,571400,602363,666184,
Nevada,10472,23677,21862,25469,33291,50241,91520,160052,304327,466297,751165,
New_Hampshire,96534,103156,108334,119337,132936,155203,180020,225378,323493,411186,474606,
New_Jersey,408993,558202,721841,985636,1100260,1373637,1806439,2218182,2548594,2794711,3064645,
New_Mexico,45510,78883,83706,98546,129475,176993,251209,289389,441466,542709,677971,
New_York,1608170,2046845,2441125,3153124,3662113,4325139,5248710,5913861,6340429,6639322,7056860,
North_Carolina,367565,440334,513377,644033,789659,994356,1204715,1509564,2043291,2517026,3132013,
North_Dakota,63360,120910,134881,145005,152043,162105,173362,181613,227664,240878,257152,
Ohio,934674,1138165,1414068,1697918,1897796,2313990,2852557,3289432,3833828,4087546,4445773,
Oklahoma,161946,351167,444524,564164,610481,663203,734593,850803,1118561,1206135,1342293,
Oregon,87545,151858,202890,266328,337492,479047,558214,691631,991593,1103313,1333723,
Pennsylvania,1303174,1630628,1922114,2235620,2515524,2915879,3350839,3705410,4219606,4495966,4777003,
Rhode_Island,92735,117976,137160,165343,187706,225447,257335,291965,338590,377977,408424,
South_Carolina,267859,315204,349126,365680,434968,514638,603551,734373,1029981,1258044,1533854,
South_Dakota,82290,131060,142793,161013,165428,182978,194821,200807,242523,259034,290245,
Tennessee,399017,462553,519108,600625,714894,871474,1003301,1213187,1618505,1853725,2232905,
Texas,582055,798426,1017413,1380096,1678396,2189178,2778116,3433996,4929267,6070937,7393354,
Utah,55208,77339,98346,115936,139487,187825,241532,297934,448603,537273,701281,
Vermont,80559,85178,85804,89188,92435,103496,110732,132098,178325,210650,240634,
Virginia,360749,419452,483363,529089,627532,845259,1072840,1390636,1863073,2291830,2699173,
Washington,107171,254692,342228,423833,537337,735746,894168,1105587,1540510,1872431,2271398,
West_Virginia,183780,248480,310098,373941,444815,518281,521142,547214,686311,688557,736481,
Wisconsin,420327,499629,595316,711889,827207,967448,1146342,1328804,1652261,1822118,2084544,
Wyoming,18632,32092,48476,56887,69374,84185,99187,104600,165624,168839,193608,
