,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,
Alabama,(NA),(NA),(NA),(NA),708043,843857,967466,1120220,1467374,1670379,1963711,
Alaska,(X),(X),(X),(X),(X),(X),67193,90729,162825,232608,260978,
Arizona,(NA),(NA),(NA),(NA),147079,240750,415834,584171,1110558,1659430,2189189,
Arkansas,(NA),(NA),(NA),(NA),520613,575163,586552,675611,898593,1000667,1173043,
California,(NA),(NA),(NA),(NA),2340373,3590660,5465870,6996990,9279036,11182882,12214549,
Colorado,(NA),(NA),(NA),(NA),354660,436226,594522,757070,1194253,1477349,1808037,
Connecticut,(NA),(NA),(NA),(NA),488543,611162,818544,981158,1158884,1320850,1385975,
Delaware,(NA),(NA),(NA),(NA),75567,97013,143725,180233,238611,289919,343072,
District_of_Columbia,(NA),(NA),(NA),(NA),185128,229738,262641,278444,276984,278489,274845,
Florida,(NA),(NA),(NA),(NA),590451,952131,1776961,2526612,4378691,6100262,7302947,
Georgia,(NA),(NA),(NA),(NA),796715,966672,1170039,1470557,2028350,2638418,3281737,
Hawaii,(X),(X),(X),(X),(X),(X),165506,216085,334235,389810,460542,
Idaho,(NA),(NA),(NA),(NA),152835,188328,223533,244695,375127,413327,527824,
Illinois,(NA),(NA),(NA),(NA),2280826,2671647,3275799,3703367,4319672,4506275,4885615,
Indiana,(NA),(NA),(NA),(NA),1005952,1232314,1503148,1730099,2091795,2246046,2532319,
Iowa,(NA),(NA),(NA),(NA),726654,811912,905295,964060,1131299,1143669,1232511,
Kansas,(NA),(NA),(NA),(NA),545721,625148,740335,789196,954906,1044112,1131200,
Kentucky,(NA),(NA),(NA),(NA),729206,820141,925572,1064451,1369125,1506845,1750927,
Louisiana,(NA),(NA),(NA),(NA),619233,777672,978452,1150235,1548419,1716241,1847181,
Maine,(NA),(NA),(NA),(NA),260659,311441,364617,397169,501093,587045,651901,
Maryland,(NA),(NA),(NA),(NA),500156,689116,934552,1249177,1570907,1891917,2145283,
Massachusetts,(NA),(NA),(NA),(NA),1221252,1400185,1690998,1890400,2208146,2472711,2621989,
Michigan,(NA),(NA),(NA),(NA),1519378,1971842,2548792,2954570,3589912,3847926,4234279,
Minnesota,(NA),(NA),(NA),(NA),773042,918434,1119271,1276198,1612960,1848445,2065946,
Mississippi,(NA),(NA),(NA),(NA),557246,609329,628945,699150,911627,1010423,1161953,
Missouri,(NA),(NA),(NA),(NA),1140493,1268354,1491397,1673361,1988915,2199129,2442017,
Montana,(NA),(NA),(NA),(NA),177443,194256,233310,246603,328465,361155,412633,
Nebraska,(NA),(NA),(NA),(NA),387368,417245,472950,515069,624829,660621,722668,
Nevada,(NA),(NA),(NA),(NA),36770,56515,101623,172558,339949,518858,827457,
New_Hampshire,(NA),(NA),(NA),(NA),158044,190563,224440,280962,386381,503904,547024,
New_Jersey,(NA),(NA),(NA),(NA),1223887,1501473,1998940,2388011,2772149,3075310,3310275,
New_Mexico,(NA),(NA),(NA),(NA),145642,199706,281976,325722,507513,632058,780579,
New_York,(NA),(NA),(NA),(NA),4032460,4633806,5695880,6298663,6867638,7226891,7679307,
North_Carolina,(NA),(NA),(NA),(NA),820888,1058367,1322957,1641222,2274737,2818193,3523944,
North_Dakota,(NA),(NA),(NA),(NA),162881,175769,194597,204222,258772,276340,289677,
Ohio,(NA),(NA),(NA),(NA),1977693,2402565,3041151,3465356,4108105,4371945,4783051,
Oklahoma,(NA),(NA),(NA),(NA),647485,715691,815685,939681,1237040,1406499,1514400,
Oregon,(NA),(NA),(NA),(NA),369811,524003,622853,744616,1083285,1193567,1452709,
Pennsylvania,(NA),(NA),(NA),(NA),2618056,3036494,3581877,3924757,4596431,4938140,5249750,
Rhode_Island,(NA),(NA),(NA),(NA),203469,244147,286757,316477,372672,414572,439837,
South_Carolina,(NA),(NA),(NA),(NA),458899,557672,678379,815123,1153709,1424155,1753670,
South_Dakota,(NA),(NA),(NA),(NA),179744,194573,216449,225253,276997,292436,323208,
Tennessee,(NA),(NA),(NA),(NA),742030,921837,1084365,1300908,1747422,2026067,2439443,
Texas,(NA),(NA),(NA),(NA),1804884,2393828,3153127,3829502,5549352,7008999,8157575,
Utah,(NA),(NA),(NA),(NA),147291,200554,262670,315765,490006,598388,768594,
Vermont,(NA),(NA),(NA),(NA),106362,121911,136307,165068,223199,271214,294382,
Virginia,(NA),(NA),(NA),(NA),659787,901483,1168913,1492954,2020941,2496334,2904192,
Washington,(NA),(NA),(NA),(NA),590439,809701,1009519,1220475,1689450,2032378,2451075,
West_Virginia,(NA),(NA),(NA),(NA),459725,544075,574357,597266,747810,781295,844623,
Wisconsin,(NA),(NA),(NA),(NA),897719,1055843,1288620,1472466,1863897,2055774,2321144,
Wyoming,(NA),(NA),(NA),(NA),76868,92086,113096,116323,188217,203411,223854,
