,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,
Alabama,347544,(NA),(NA),(NA),638602,734360,800051,883005,1068224,1148712,1283182,
Alaska,(X),(X),(X),(X),(X),(X),47984,68220,104996,147089,169540,
Arizona,22127,(NA),(NA),(NA),116013,184664,316907,450294,757333,1031162,1429321,
Arkansas,250419,(NA),(NA),(NA),464582,478825,457833,509458,642223,677401,776111,
California,283635,(NA),(NA),(NA),1849430,2867388,4092475,5195218,6498988,7951339,8794562,
Colorado,109019,(NA),(NA),(NA),279811,342391,447572,566484,811468,941527,1222460,
Connecticut,190913,(NA),(NA),(NA),421558,528029,665281,783840,857910,933318,957446,
Delaware,37579,(NA),(NA),(NA),65433,82711,114535,139585,163871,190046,224097,
District_of_Columbia,53044,(NA),(NA),(NA),156234,192119,183996,178299,153122,146008,139594,
Florida,102781,(NA),(NA),(NA),470147,731100,1324846,1858465,2858756,3824915,4650626,
Georgia,422046,(NA),(NA),(NA),710126,828017,962243,1172045,1487846,1828913,2295846,
Hawaii,(X),(X),(X),(X),(X),(X),134569,177187,243748,287282,315087,
Idaho,29023,(NA),(NA),(NA),127122,150673,168065,182752,259567,279923,364470,
Illinois,984758,(NA),(NA),(NA),2025711,2329042,2641097,2855790,3075317,3121127,3361972,
Indiana,545791,(NA),(NA),(NA),889207,1061426,1216631,1344422,1514058,1568514,1730878,
Iowa,456468,(NA),(NA),(NA),644849,700808,725410,730602,807102,788859,836193,
Kansas,302619,(NA),(NA),(NA),464387,520472,578809,593185,664952,699570,757504,
Kentucky,418798,(NA),(NA),(NA),658652,721852,761514,834134,1011280,1058535,1176552,
Louisiana,261201,(NA),(NA),(NA),550762,658401,782602,883649,1110946,1143209,1236853,
Maine,152942,(NA),(NA),(NA),200846,229615,245145,251966,310891,356838,378231,
Maryland,229944,(NA),(NA),(NA),433915,593553,775941,999947,1156658,1354419,1485400,
Massachusetts,577148,(NA),(NA),(NA),1039690,1189860,1316878,1428445,1537040,1666336,1759235,
Michigan,517630,(NA),(NA),(NA),1304949,1645693,1978827,2240554,2522312,2609882,2792054,
Minnesota,317896,(NA),(NA),(NA),668742,761065,856566,949346,1109431,1234322,1385659,
Mississippi,294602,(NA),(NA),(NA),501507,512084,507272,538892,658725,698425,788726,
Missouri,621675,(NA),(NA),(NA),980020,1067230,1153710,1227155,1366026,1450522,1594786,
Montana,41790,(NA),(NA),(NA),135850,150138,168253,174267,217392,225672,260245,
Nebraska,205553,(NA),(NA),(NA),329492,352817,371931,382184,432458,442692,482634,
Nevada,7730,(NA),(NA),(NA),27394,42180,74254,129005,229484,346670,564420,
New_Hampshire,90108,(NA),(NA),(NA),120772,138619,156418,187140,254850,320822,358592,
New_Jersey,392882,(NA),(NA),(NA),1038065,1276037,1602983,1866637,2011084,2148540,2313358,
New_Mexico,40376,(NA),(NA),(NA),118643,160937,224343,246253,348604,417826,505790,
New_York,1533547,(NA),(NA),(NA),3382117,3908241,4437008,4719317,4691104,4833059,5074118,
North_Carolina,350447,(NA),(NA),(NA),757754,940962,1105074,1308724,1635641,1920067,2336742,
North_Dakota,55586,(NA),(NA),(NA),140001,147426,152690,150680,175636,176925,181732,
Ohio,893448,(NA),(NA),(NA),1759796,2117571,2507871,2742423,2974497,3067096,3230159,
Oklahoma,151478,(NA),(NA),(NA),565591,592172,621018,687959,856797,896766,983733,
Oregon,77371,(NA),(NA),(NA),292884,417439,467942,558806,758636,824597,986099,
Pennsylvania,1260260,(NA),(NA),(NA),2355297,2686270,2950731,3064839,3263706,3345272,3456062,
Rhode_Island,88578,(NA),(NA),(NA),173864,205397,222177,238890,257202,278866,291746,
South_Carolina,251176,(NA),(NA),(NA),409917,479467,546911,632988,832602,976697,1150712,
South_Dakota,74915,(NA),(NA),(NA),150930,164839,169899,164379,185614,190726,210205,
Tennessee,384984,(NA),(NA),(NA),678267,815294,906302,1038406,1288453,1411596,1656504,
Texas,556679,(NA),(NA),(NA),1563559,1994379,2428525,2874942,3860749,4618001,5641213,
Utah,50896,(NA),(NA),(NA),128403,170766,212656,255170,371507,435633,576525,
Vermont,76299,(NA),(NA),(NA),85081,93738,96909,109862,139042,161284,177522,
Virginia,343021,(NA),(NA),(NA),592678,789704,971569,1189964,1480476,1768060,2022266,
Washington,92909,(NA),(NA),(NA),457095,632139,737043,888723,1168241,1396111,1677073,
West_Virginia,178625,(NA),(NA),(NA),422034,482831,468488,459449,544280,519822,536894,
Wisconsin,401734,(NA),(NA),(NA),768965,888273,1006195,1103803,1280995,1378445,1526669,
Wyoming,15227,(NA),(NA),(NA),60507,73868,84955,85814,130297,127552,142628,
