,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,
Alabama,(NA),(NA),(NA),(NA),34228,57018,83350,86107,125518,163589,226631,
Alaska,(X),(X),(X),(X),(X),(X),9943,11670,31362,43693,39378,
Arizona,(NA),(NA),(NA),(NA),15946,30376,49204,45014,153526,290587,287862,
Arkansas,(NA),(NA),(NA),(NA),24788,50772,63000,60187,82528,109488,130347,
California,(NA),(NA),(NA),(NA),202030,257254,483762,423129,649170,801676,711679,
Colorado,(NA),(NA),(NA),(NA),38660,44991,65103,66142,133004,194860,149799,
Connecticut,(NA),(NA),(NA),(NA),39861,41524,65808,47889,65206,90371,84305,
Delaware,(NA),(NA),(NA),(NA),5026,6623,15143,15429,31530,42422,44336,
District_of_Columbia,(NA),(NA),(NA),(NA),11683,5596,10575,15906,23841,28855,26507,
Florida,(NA),(NA),(NA),(NA),70564,130630,226547,241826,634437,965393,965018,
Georgia,(NA),(NA),(NA),(NA),44474,77403,99714,101332,156698,271803,275368,
Hawaii,(X),(X),(X),(X),(X),(X),12442,12997,40183,33543,57302,
Idaho,(NA),(NA),(NA),(NA),11108,19218,29694,25735,51020,52604,58179,
Illinois,(NA),(NA),(NA),(NA),88102,89647,190828,201229,274298,304035,293836,
Indiana,(NA),(NA),(NA),(NA),44454,63398,115270,120605,164745,180691,196013,
Iowa,(NA),(NA),(NA),(NA),24830,31745,63938,67749,78266,79344,83235,
Kansas,(NA),(NA),(NA),(NA),34612,38498,67436,61832,82667,99386,93309,
Kentucky,(NA),(NA),(NA),(NA),30668,41387,73705,80786,105770,127063,160280,
Louisiana,(NA),(NA),(NA),(NA),26705,52727,86108,98197,136631,216972,191128,
Maine,(NA),(NA),(NA),(NA),41691,56998,84262,94246,105909,121733,133701,
Maryland,(NA),(NA),(NA),(NA),34473,47894,71551,74104,110042,142926,164424,
Massachusetts,(NA),(NA),(NA),(NA),100558,94991,156013,130708,175429,225601,178409,
Michigan,(NA),(NA),(NA),(NA),123364,181140,309713,301511,394699,428595,448618,
Minnesota,(NA),(NA),(NA),(NA),44683,73169,127290,122252,167738,200592,170819,
Mississippi,(NA),(NA),(NA),(NA),22290,54564,60875,62426,84458,99049,115519,
Missouri,(NA),(NA),(NA),(NA),71851,70757,131343,152794,195516,237923,247423,
Montana,(NA),(NA),(NA),(NA),17480,18786,31070,29299,44723,54992,53966,
Nebraska,(NA),(NA),(NA),(NA),26624,23097,39502,41348,53429,58258,56484,
Nevada,(NA),(NA),(NA),(NA),3479,6274,10103,12506,35622,52561,76292,
New_Hampshire,(NA),(NA),(NA),(NA),25108,35360,44420,55584,62888,92718,72418,
New_Jersey,(NA),(NA),(NA),(NA),123627,127836,192501,169829,223555,280599,245630,
New_Mexico,(NA),(NA),(NA),(NA),16167,22713,30767,36333,66047,89349,102608,
New_York,(NA),(NA),(NA),(NA),370347,308667,447170,384802,527209,587569,622447,
North_Carolina,(NA),(NA),(NA),(NA),31229,64011,118242,131658,231446,301167,391931,
North_Dakota,(NA),(NA),(NA),(NA),10838,13664,21235,22609,31108,35462,32525,
Ohio,(NA),(NA),(NA),(NA),79897,88575,188594,175924,274277,284399,337278,
Oklahoma,(NA),(NA),(NA),(NA),37004,52488,81092,88878,118479,200364,172107,
Oregon,(NA),(NA),(NA),(NA),32319,44956,64639,52985,91692,90254,118986,
Pennsylvania,(NA),(NA),(NA),(NA),102532,120615,231038,219347,376825,442174,472747,
Rhode_Island,(NA),(NA),(NA),(NA),15763,18700,29422,24512,34082,36595,31413,
South_Carolina,(NA),(NA),(NA),(NA),23931,43034,74828,80750,123728,166111,219816,
South_Dakota,(NA),(NA),(NA),(NA),14316,11595,21628,24446,34474,33402,32963,
Tennessee,(NA),(NA),(NA),(NA),27136,50363,81064,87721,128917,172342,206538,
Texas,(NA),(NA),(NA),(NA),126488,204650,375011,395506,620085,938062,764221,
Utah,(NA),(NA),(NA),(NA),7804,12729,21138,17831,41403,61115,67313,
Vermont,(NA),(NA),(NA),(NA),13927,18415,25575,32970,44874,60564,53748,
Virginia,(NA),(NA),(NA),(NA),32255,56224,96073,102318,157868,204504,205019,
Washington,(NA),(NA),(NA),(NA),53102,73955,115351,114888,148940,159947,179677,
West_Virginia,(NA),(NA),(NA),(NA),14910,25794,53215,50052,61499,92738,108142,
Wisconsin,(NA),(NA),(NA),(NA),70512,88395,142278,143662,211636,233656,236600,
Wyoming,(NA),(NA),(NA),(NA),7494,7901,13909,11723,22593,34572,30246,
