,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,,
Alabama,1001152,1228832,1447032,1700844,1849097,2079591,2283609,2533831,2872621,2975797,,
Alaska,(X),(X),(X),(X),(X),(X),174546,236767,309728,415492,,
Arizona,92903,171468,291449,378551,426792,654511,1169517,1604948,2240761,2963186,,
Arkansas,944580,1131026,1279757,1375315,1466084,1481507,1395703,1565915,1890322,1944744,,
California,1402727,2259672,3264711,5408260,6596763,9915173,14455230,17761032,18030893,20524327,,
Colorado,529046,783415,924103,1018793,1106502,1296653,1700700,2112352,2571498,2905474,,
Connecticut,892424,1098897,1358732,1576700,1675407,1952329,2423816,2835458,2799420,2859353,,
Delaware,153977,171102,192615,205718,230528,273878,384327,466459,487817,535094,,
District_of_Columbia,191532,236128,326860,353981,474326,517865,345263,209272,171768,179667,,
Florida,297333,443634,638153,1035390,1381986,2166051,4063881,5719343,8184513,10749285,,
Georgia,1181294,1431802,1689114,1837021,2038278,2380577,2817223,3391242,3947135,4600148,,
Hawaii,(X),(X),(X),(X),(X),(X),202230,298160,318770,369616,,
Idaho,154495,319221,425668,438840,519292,581395,657383,698802,901641,950451,,
Illinois,4734873,5526962,6299333,7295267,7504202,8046058,9010252,9600381,9233327,8952978,,
Indiana,2458502,2639961,2849071,3125778,3305323,3758512,4388554,4820324,5004394,5020700,,
Iowa,2218667,2209191,2384181,2452677,2520691,2599546,2728709,2782762,2839225,2683090,,
Kansas,1416319,1634352,1708906,1811997,1734496,1828961,2078666,2122068,2168221,2231986,,
Kentucky,1862309,2027951,2180560,2388452,2631425,2742090,2820083,2981766,3379006,3391832,,
Louisiana,729612,941086,1096611,1322712,1511739,1796683,2211715,2541498,2912172,2839138,,
Maine,692226,739995,765695,795185,844543,910846,963291,985276,1109850,1208360,,
Maryland,952424,1062639,1204737,1354226,1518481,1954975,2573919,3194888,3158838,3393964,,
Massachusetts,2769764,3324926,3803524,4192992,4257596,4611503,5023144,5477624,5362836,5405374,,
Michigan,2398563,2785247,3601627,4663507,5039643,5917825,7085865,7833474,7872241,7756086,,
Minnesota,1737036,2059227,2368936,2542599,2768982,2953697,3371603,3736038,3935770,4130395,,
Mississippi,641200,786111,853962,998077,1106327,1188632,1257546,1393283,1615190,1633461,,
Missouri,2944843,3134932,3225044,3403876,3539187,3655593,3922967,4177495,4345521,4486228,,
Montana,226283,360580,534260,519898,540468,572038,650738,663043,740148,741111,,
Nebraska,1056526,1180293,1279219,1360023,1297624,1301328,1374764,1432867,1490381,1480558,,
Nevada,35405,74276,70699,84515,104030,149908,263443,448177,700345,1012695,,
New_Hampshire,410791,429906,442331,464351,490989,532275,604334,733106,910099,1087433,,
New_Jersey,1812317,2445894,3037087,3829663,3931087,4511585,5539003,6349908,6127467,6130465,,
New_Mexico,180207,304594,334673,391095,492312,630211,875763,915815,977587,1146028,,
New_York,7156881,8966845,10172027,12153191,12879546,13872095,15287071,15834090,13960868,13385255,,
North_Carolina,1263603,1500511,1783779,2234958,2567635,2983121,3399285,3901767,4457507,5008491,,
North_Dakota,311712,569855,639954,671851,631464,608448,619538,599485,625557,604142,,
Ohio,4060204,4654897,5571893,6335173,6566531,7428222,8909698,9646997,9597458,9521756,,
Oklahoma,670204,1444531,1821194,2130778,2104228,2032526,2107900,2280362,2597791,2583512,,
Oregon,394582,655090,769146,938597,1075731,1497128,1732037,2032079,2490610,2636787,,
Pennsylvania,6141664,7467713,8432726,9196007,9426989,9853848,10454004,10737732,10652320,10520201,,
Rhode_Island,419050,532492,593980,677026,701805,777015,838712,914757,896692,917375,,
South_Carolina,557807,679161,818538,944049,1084308,1293405,1551022,1794430,2147224,2406974,,
South_Dakota,380714,563771,619147,670269,619075,628504,653098,630333,639669,637515,,
Tennessee,1540186,1711432,1885993,2138644,2406906,2760257,2977753,3293930,3835452,4048068,,
Texas,2426669,3204848,3918165,4967172,5487545,6726534,8374831,9717128,11198441,12774762,,
Utah,272465,366583,441901,499967,542920,676909,873828,1031926,1382550,1615845,,
Vermont,342771,354298,351817,358966,358806,377188,389092,442553,506736,555088,,
Virginia,1192855,1389809,1617909,1770441,2015583,2581555,3142443,3761514,4229798,4791739,,
Washington,496304,1109111,1319777,1521661,1698147,2316496,2751675,3251055,3779170,4308937,,
West_Virginia,915233,1156817,1377235,1614191,1784102,1890282,1770133,1673480,1874751,1725523,,
Wisconsin,2057911,2320555,2616938,2916255,3112752,3392690,3858903,4258959,4443035,4512523,,
Wyoming,89051,140318,190146,221241,246597,284009,322922,323024,446488,427061,,
