state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,2098046,1020158,325961,2245,903467,1782224,2443,1661941,689411,3444165,344702,1034113,2533831
Alaska,190463,103032,6887,2642,8911,137124,16276,163258,39747,300382,39312,79059,236767
Arizona,1071895,537531,161474,7525,53344,899894,95812,871006,352043,1770900,187114,539157,1604948
Arkansas,1144700,540835,237760,1619,352445,990985,2014,932310,410438,1923295,204986,615424,1565915
California,12627666,5524491,1800977,522270,1400143,10136449,91018,9816685,3611347,19953134,2962514,6573861,17761032
Colorado,1375150,644218,187891,10388,66411,1117882,8836,1089377,438120,2207259,252808,690928,2112352
Connecticut,1889362,853439,288908,6007,181177,1561222,2222,1470487,583381,3031709,349888,933269,2835458
Delaware,338889,165382,43833,1310,78276,280772,656,267332,112120,548104,52684,164804,466459
District_of_Columbia,497326,188381,70803,4895,537712,405019,956,351491,73980,756510,188558,262538,209272
Florida,4050170,1749907,989366,12315,1041651,3513872,6677,3275571,1566864,6789443,717922,2284786,5719343
Georgia,2849173,1372944,367458,4673,1187149,2358879,2347,2230696,836323,4589575,532902,1369225,3391242
Hawaii,493986,230459,44116,363261,7573,369356,1126,399205,95271,768561,107817,203088,298160
Idaho,428493,216298,67776,2959,2130,356817,6687,355750,153589,712567,65371,218960,698802
Illinois,6850092,3170230,1093654,44427,1425674,5722140,11413,5391836,2081101,11113976,1421037,3502138,9600381
Indiana,3169257,1530603,493809,5759,357464,2662499,3887,2531170,1153249,5193669,456245,1609494,4820324
Iowa,1667330,806753,350293,2616,32596,1451509,2992,1372867,642676,2824376,253635,896311,2782762
Kansas,1365399,614978,266201,3575,106977,1145005,8672,1101573,502585,2246578,224779,727364,2122068
Kentucky,1959544,921734,337428,2265,230793,1639670,1531,1579036,657909,3218706,325756,983665,2981766
Louisiana,2178160,1156439,306707,3712,1086832,1869822,5294,1771484,663927,3641306,388111,1052038,2541498
Maine,591475,285981,114592,1007,2800,509183,2195,482865,212199,992048,90724,302923,985276
Maryland,2464030,1158687,299682,15423,699479,2006078,4239,1916321,690514,3922399,484559,1175073,3194888
Massachusetts,3485162,1567823,636185,20766,175817,2969772,4475,2719398,1012173,5689170,747519,1759692,5477624
Michigan,5414582,2707546,752955,15285,991066,4526435,16854,4348648,1974548,8875083,678511,2653059,7833474
Minnesota,2246625,1149427,408919,6481,34868,1941161,23128,1863810,824629,3804971,329317,1153946,3736038
Mississippi,1294787,699805,222320,2377,815770,1142695,4113,1074217,421900,2216912,214824,636724,1393283
Missouri,2825418,1290427,560656,7207,480172,2420549,5405,2255952,1021106,4676501,499461,1520567,4177495
Montana,417743,207930,68736,1099,1995,347404,27130,347005,142774,694409,74530,217304,663043
Nebraska,879548,420419,183526,2189,39911,759038,6624,724455,314600,1483493,159121,473721,1432867
Nevada,313714,144056,30968,2859,27762,240940,7933,247798,93676,488738,66376,160052,448177
New_Hampshire,444993,214276,78412,937,2505,377009,361,360672,153771,737681,71607,225378,733106
New_Jersey,4478892,1992283,696989,20537,770292,3700791,4706,3467373,1349815,7168164,868367,2218182,6349908
New_Mexico,606694,338695,70611,1889,19555,515176,72788,500824,192231,1016000,97158,289389,915815
New_York,11398793,4877422,1960752,116008,2168949,9521628,28355,8715339,2795635,18236967,3118226,5913861,15834090
North_Carolina,3215276,1452663,414120,4264,1126478,2593692,44406,2488367,987290,5082059,522274,1509564,3901767
North_Dakota,365501,185892,66368,608,2494,306152,14369,311609,124190,617761,57423,181613,599485
Ohio,6546634,3107689,997694,14350,970477,5488644,6654,5163373,2226021,10652017,1063411,3289432,9646997
Oklahoma,1570962,688511,299756,3019,171892,1312874,98468,1246355,588895,2559229,261908,850803,2280362
Oregon,1294897,569689,226799,13290,26308,1067433,13510,1023952,457017,2091385,234614,691631,2032079
Pennsylvania,7344287,3177496,1272126,17074,1016514,6128495,5533,5665414,2549277,11793909,1156133,3705410,10737732
Rhode_Island,592595,250198,103932,3483,25338,482434,1390,464291,168923,946725,123042,291965,914757
South_Carolina,1611847,787709,190960,2569,789041,1318429,2241,1272087,485427,2590516,248946,734373,1794430
South_Dakota,387625,197398,80484,467,1627,335474,32365,330033,139681,665507,61126,200807,630333
Tennessee,2442981,1096781,383925,3616,621261,2026013,2276,1897674,809376,3923687,403811,1213187,3293930
Texas,6876203,3328468,992059,17614,1399005,5715561,17957,5481169,2222469,11196730,1211527,3433996,9717128
Utah,629163,352549,77561,6386,6617,536008,11273,523265,206570,1059273,91364,297934,1031926
Vermont,265627,131215,47488,360,761,227164,229,217166,91285,444330,40813,132098,442553
Virginia,2959140,1323333,366021,13801,861368,2351373,4853,2297121,862591,4648494,528045,1390636,3761514
Washington,2129377,957731,322061,40998,71308,1715422,33386,1693747,738186,3409169,367401,1105587,3251055
West_Virginia,1076005,473758,194474,1463,67342,899568,751,844669,376767,1744237,170447,547214,1673480
Wisconsin,2627277,1317589,472865,6557,128224,2250358,18924,2167373,918123,4417731,410681,1328804,4258959
Wyoming,203418,98794,30204,966,2568,165641,4980,166775,69440,332416,35160,104600,323024
